name_hotel,location_hotel,Free_Wifi_hotel,rating_hotel_num,rating_hotel_text,rating_hotel_qty,normal_price_hotel,discount_hotel,discount_price_hotel,reward_point_hotel,room,date
Le Grande ,Badung,Free Wifi,8.5,Luar Biasa,21,1.250.000,25,373.800,299,1,08-12-2021
Bloo ,Badung,Free Wifi,,,,280.000,5,154.280,123,1,08-12-2021
Grand ,Badung,Free Wifi,9.2,Istimewa,5,1.500.000,21,770.250,616,1,08-12-2021
"Amatara Arya UbudGianyar, 
 
 
 ",Gianyar,Free Wifi,,,,775.814,5,309.550,247,1,08-12-2021
"Villa Deh Simba at Seminyak AramanisBadung, 
 
 
 ",Badung,Free Wifi,,,,6.105.263,5,5.800.000,4640,1,08-12-2021
"Adiwana Warnakali ResortKlungkung, 
 
 
 ",Klungkung,Free Wifi,,,,2.269.856,5,1.078.182,862,1,08-12-2021
POP! Hotel Denpasar ,Denpasar,Free Wifi,8.2,Luar Biasa,41,256.410,35,166.667,133,1,08-12-2021
"Kutabex Beach Front HotelBadung, 
 
 
 ",Badung,Free Wifi,8.7,Luar Biasa,99,756.315,5,359.250,287,1,08-12-2021
"Mars City HotelDenpasar, 
 
 
 ",Denpasar,Free Wifi,7.5,Sangat Baik,53,700.000,35,159.250,127,1,08-12-2021
"Rofa Kuta HotelBadung, 
 
 
 ",Badung,Free Wifi,8.2,Luar Biasa,51,575.384,35,175.780,140,1,08-12-2021
"The Sun Heaven Ubud by InaraGianyar, 
 
 
 ",Gianyar,Free Wifi,,,,951.578,5,361.600,289,1,08-12-2021
POP! Hotel Kuta Beach ,Badung,Free Wifi,8.3,Luar Biasa,213,205.263,5,195.000,156,1,08-12-2021
